BP,Lake_Gölhisar ,z_score,,BP,Sofular_cave ,z_score,,BP,Eski_Acıgöl,z_score,,BP,Dim_cave,z_score,,BP,Karaca_cave,z_score,,BP,Lake_Van,z_score,,BP,Jeita_cave,z_score,,BP,Lake_Hula,z_score,,BP,Jerusalem_West_cave,z_score,,BP,Soreq_cave,z_score,,BP,KunaBa_cave,z_score,,BP,Lake_Zeribar,z_score,,BP,Lake_Mirabad,z_score,,BP,Gol_e_Zard_cave,z_score,,BP,Hoti_cave,z_score,,BP,Qunf_cave,z_score
4580,-2.92,1.3232628978,,2419,-8.13,0.8427144305,,3944,1.01,0.7688894878,,10522,-6.038,-0.2564383568,,9145,-11.5811,0.105791903,,5824,0,-0.8423540103,,2844,-5.06,0.8459014286,,11685,-9.1,-1.8565924148,,,,,,4100,-5.42,0.5611449126,,2200,-6.3,1.2486904081,,8626,-7.92,-2.3860469401,,,,,,4080,-7.29,1.7113236952,,6195,-4.48,0.7698446876,,2867,-0.68,1.7809885679
4707,-3.18,1.1670350884,,2429,-8.13,0.8427144305,,4035,1.89,1.2351659003,,10543,-6.387,-1.0791412519,,9258,-11.5444,0.1559502861,,5936,0.33,-0.5094705466,,2850,-4.82,1.3191048621,,11966,-8.97,-1.5608117605,,,,,,4115,-5.52,0.3368862885,,2203,-6.31,1.2193422364,,8932,-6.79,-1.4993764042,,,,,,4090,-7.53,1.0764189554,,6201,-4.54,0.6522694358,,2873,-0.54,2.0890633852
4835,-3.24,1.1309825171,,2439,-8.05,0.9039231838,,4126,2.28,1.4418111285,,10564,-6.21,-0.6618965172,,9486,-11.0842,0.784911809,,6048,0.3,-0.5397326797,,2856,-4.96,1.0430695259,,12274,-8.87,-1.3332881803,,,,,,4130,-5.42,0.5611449126,,2206,-6.33,1.1606458929,,9127,-6.59,-1.342443566,,,,,,4100,-7.59,0.9176927704,,6207,-4.69,0.3583313063,,2878,-0.89,1.318876342
4962,-2.55,1.5455870879,,2450,-8.06,0.8962720896,,4218,2.52,1.5689774228,,10585,-5.954,-0.0584239064,,9599,-12.029,-0.5063590447,,6160,0.5,-0.337985126,,2862,-4.88,1.2008040037,,12616,-8.42,-0.3094320691,,,,,,4145,-5.33,0.7629776742,,2209,-6.37,1.043253206,,9749,-5.94,-0.8324118418,,,,,,4110,-7.49,1.182236412,,6213,-5.07,-0.3863119551,,2884,-0.78,1.560935127
5089,-3.71,0.8485707079,,2460,-8.07,0.8886209955,,4309,1.88,1.2298673047,,10606,-6.129,-0.4709540114,,9713,-11.9114,-0.3456335447,,6272,0.33,-0.5094705466,,2868,-4.94,1.0825031453,,12920,-8.18,0.2366245235,,,,,,4160,-5.31,0.807829399,,2212,-6.36,1.0726013777,,9957,-5.58,-0.549932733,,,,,,4120,-7.53,1.0764189554,,6219,-5.23,-0.6998459599,,2889,-0.93,1.2308549656
5344,-3.97,0.6923428986,,2466,-8.08,0.8809699013,,4401,1.69,1.1291939883,,10627,-5.616,0.7383485249,,9827,-12.3926,-1.0032960497,,6496,0.47,-0.368247259,,2874,-4.91,1.1416535745,,13205,-8.2,0.1911198074,,,,,,4175,-5.2,1.0545138854,,2215,-6.33,1.1606458929,,10388,-5.46,-0.4557730301,,,,,,4130,-7.63,0.8118753138,,6224,-4.53,0.6718653111,,2894,-0.83,1.4509084066
5598,-5.67,-0.3291466239,,2471,-8.08,0.8809699013,,4492,1.7,1.1344925839,,10648,-5.988,-0.1385726125,,9940,-11.6337,0.0339027763,,6608,0.43,-0.4085967698,,2880,-4.77,1.4176889107,,13585,-8.07,0.4869004617,,,,,,4190,-5.39,0.6284224998,,2218,-6.33,1.1606458929,,10803,-5.23,-0.2753002662,,,,,,4140,-7.74,0.5208773081,,6230,-4.5,0.730652937,,2900,-0.9,1.2968709979
5684,-5.93,-0.4853744332,,2477,-8.09,0.8733188072,,4584,1.64,1.1027010104,,10669,-5.81,0.2810294371,,10168,-11.8578,-0.2723777045,,6720,0.4,-0.4388589028,,2886,-4.85,1.2599544329,,13965,-8.01,0.6234146099,,,,,,4200,-5.39,0.6284224998,,2221,-6.37,1.043253206,,11186,-4.97,-0.0712875765,,,,,,4150,-7.5,1.1557820479,,6236,-4.72,0.2995436804,,2905,-0.87,1.3628870302
5747,-6.77,-0.9901104326,,2483,-7.99,0.9498297488,,4675,0.95,0.7370979142,,10690,-5.856,0.1725929524,,10282,-12.0216,-0.4962453652,,6832,0.03,-0.8120918773,,2892,-4.7,1.5557065788,,14349,-7.78,1.1467188445,,,,,,4235,-5.52,0.3368862885,,2224,-6.46,0.7791196604,,11537,-4.49,0.3053512352,,,,,,4160,-7.42,1.3674169611,,6242,-4.99,-0.2295449527,,2911,-0.75,1.6269511593
5809,-7.17,-1.2304609085,,2488,-8.12,0.8503655247,,4766,0.67,0.5887372375,,10711,-5.67,0.6110535211,,10395,-12.397,-1.0093095888,,6944,-0.23,-1.0743636971,,2897,-4.98,1.0036359064,,14706,-7.8,,,,,,,4250,-5.52,0.3368862885,,2227,-6.45,0.8084678321,,12031,-4.21,0.5250572087,,,,,,4170,-7.71,0.6002404005,,6248,-5.16,-0.5626748328,,2916,-0.84,1.4289030625
